"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.611984694E0,1.263000011E0,1.318900013E1,3.759999871E-1
2.631984694E0,-4.589999914E-1,1.198299980E1,6.439999938E-1
2.651984694E0,-1.741999984E0,9.607999802E0,1.294999957E0
2.671984694E0,-1.608000040E0,7.022999763E0,1.256000042E0
2.691984694E0,-5.929999948E-1,5.797999859E0,1.161000013E0
2.711984694E0,4.009999931E-1,6.218999863E0,1.218000054E0
2.731984694E0,9.570000172E-1,7.290999889E0,1.236999989E0
2.751984694E0,8.040000200E-1,8.324999809E0,1.659000039E0
2.771984694E0,3.059999943E-1,8.861000061E0,2.079999924E0
2.791984694E0,-9.499999881E-2,8.842000008E0,2.270999908E0
2.811984694E0,-9.499999881E-2,8.765999794E0,2.137000084E0
2.831984694E0,3.059999943E-1,8.899999619E0,2.176000118E0
2.851984694E0,4.779999852E-1,9.263999939E0,2.194999933E0
2.871984694E0,7.649999857E-1,9.378000259E0,1.888000011E0
2.891984694E0,6.119999886E-1,9.666000366E0,1.600999951E0
2.911984694E0,1.340000033E0,9.800000191E0,3.325000048E0
2.931984694E0,9.380000234E-1,1.039299965E1,2.750000000E0
2.951984694E0,-4.210000038E-1,1.173400021E1,2.270999908E0
2.971984694E0,-2.029999971E0,1.200199986E1,4.933000088E0
2.991984694E0,9.380000234E-1,1.355300045E1,5.526999950E0
3.011984694E0,-1.072000027E0,1.422299957E1,4.129000187E0
3.031984694E0,-1.282999992E0,1.332299995E1,2.220000029E-1
3.051984694E0,-2.737999916E0,1.115900040E1,4.900000095E-1
3.071984694E0,-2.335999966E0,5.586999893E0,-6.400000304E-2
3.091984694E0,0.000000000E0,3.519000053E0,-8.489999771E-1
3.111984694E0,2.392999887E0,4.668000221E0,-1.786999941E0
3.131984694E0,3.312000036E0,8.114999771E0,-9.829999804E-1
3.151984694E0,2.086999893E0,1.075699997E1,5.860000253E-1
3.171984694E0,-5.929999948E-1,1.200199986E1,1.659000039E0
3.191984694E0,-2.719000101E0,1.087199974E1,1.888000011E0
3.211984694E0,-2.737999916E0,9.109999657E0,1.524000049E0
3.231984694E0,-9.190000296E-1,8.689000130E0,7.779999971E-1
3.251984694E0,8.040000200E-1,8.171999931E0,-8.299999684E-2
3.271984694E0,2.355000019E0,7.885000229E0,-4.850000143E-1
3.291984694E0,3.025000095E0,7.980999947E0,5.669999719E-1
3.311984694E0,2.698999882E0,7.922999859E0,1.582000017E0
3.331984694E0,2.374000072E0,7.922999859E0,2.213999987E0
3.351984694E0,2.604000092E0,8.000000000E0,2.194999933E0
3.371984694E0,3.140000105E0,7.960999966E0,1.792999983E0
3.391984694E0,3.542000055E0,8.057000160E0,1.409999967E0
3.411984694E0,3.388999939E0,8.267999649E0,1.083999991E0
3.431984694E0,2.717999935E0,8.708000183E0,6.819999814E-1
3.451984694E0,1.723000050E0,9.741999626E0,3.370000124E-1
