"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.229762538E0,1.856999993E0,-1.097599983E1,-2.361999989E0
7.249762538E0,7.459999919E-1,-1.038199997E1,-2.246999979E0
7.269762538E0,5.700000003E-2,-9.616999626E0,-1.845000029E0
7.289762538E0,-7.850000262E-1,-8.888999939E0,-1.213000059E0
7.309762538E0,-1.473999977E0,-8.581999779E0,-1.116999984E0
7.329762538E0,-1.741999984E0,-8.678000450E0,-1.213000059E0
7.349762538E0,-2.183000088E0,-9.213999748E0,-1.422999978E0
7.369762538E0,-3.561000109E0,-1.105300045E1,-1.692000031E0
7.389762538E0,-4.921000004E0,-1.306299973E1,-2.246999979E0
7.409762538E0,-1.214000034E1,-1.421199989E1,7.009999752E-1
7.429762538E0,-8.406000137E0,-1.451900005E1,-4.469999969E-1
7.449762538E0,-4.921000004E0,-1.363799953E1,-1.194000006E0
7.469762538E0,-2.871999979E0,-1.076500034E1,-8.299999833E-1
7.489762538E0,-1.034000039E0,-7.721000195E0,-1.998000026E0
7.509762538E0,-2.489999980E-1,-9.520999908E0,-1.422999978E0
7.529762538E0,5.700000003E-2,-1.400199986E1,9.309999943E-1
7.549762538E0,-2.930000067E0,-1.756299973E1,5.852000237E0
7.569762538E0,-4.652999878E0,-1.869300079E1,8.532999992E0
7.589762538E0,-4.652999878E0,-1.869300079E1,8.532999992E0
7.609762538E0,-4.979999959E-1,-9.501999855E0,7.421999931E0
7.629762538E0,-1.529999971E-1,-8.640000343E0,3.956000090E0
7.649762538E0,-1.909999996E-1,-7.625000000E0,9.309999943E-1
7.669762538E0,-1.909999996E-1,-7.625000000E0,9.309999943E-1
7.689762538E0,2.259000063E0,-5.940000057E0,-2.246999979E0
7.709762538E0,3.082000017E0,-6.111999989E0,-2.630000114E0
7.729762538E0,3.963000059E0,-6.572000027E0,-3.299999952E0
7.749762538E0,3.848000050E0,-6.284999847E0,-3.414999962E0
7.769762538E0,3.006000042E0,-3.489000082E0,-7.513000011E0
7.789762538E0,2.947999954E0,-3.585000038E0,-1.145800018E1
7.809762538E0,4.690999985E0,-6.399000168E0,-7.033999920E0
7.829762538E0,5.513999939E0,-8.390999794E0,-2.209000111E0
7.849762538E0,4.499000072E0,-1.103400040E1,2.559000015E0
7.869762538E0,2.105999947E0,-1.321700001E1,1.582000017E0
7.889762538E0,-4.633999825E0,-1.593599987E1,-2.055000067E0
